"id_atencion_por_departamento","id_departamento","codigo_cie","hombres","mujeres","ignorado","id_tipo_servicios"
767,"2",Z98,72,55,0,2
768,"2",Z76,59,53,0,2
769,"2",N73,0,108,0,2
770,"2",N72,0,99,0,2
771,"2",K31,26,70,0,2
772,"2",H66,53,38,0,2
773,"2",K21,38,53,0,2
774,"2",E11,30,59,1,2
775,"2",B37,2,87,0,2
776,"2",K59,31,56,0,2
777,"2",F41,35,51,0,2
778,"2",J00,43,43,0,2
779,"2",R99,373,777,2,2
780,"3",N18,1565,1006,123,2
781,"3",H52,913,1446,2,2
782,"3",Z01,66,1795,0,2
783,"3",E14,399,742,0,2
784,"3",N39,201,708,0,2
785,"3",I10,263,544,0,2
786,"3",J06,391,369,0,2
787,"3",A09,317,326,0,2
788,"3",C91,459,155,0,2
789,"3",K02,237,328,0,2
790,"3",Z98,230,319,0,2
791,"3",H40,179,348,0,2
792,"3",M54,104,374,0,2
793,"3",H04,153,323,0,2
794,"3",L70,136,309,0,2
795,"3",K31,166,268,0,2
796,"3",Z30,7,423,0,2
797,"3",H10,191,182,0,2
798,"3",N76,0,368,0,2
799,"3",Z96,134,223,0,2
800,"3",K80,70,277,0,2
801,"3",Z33,0,329,0,2
802,"3",D25,0,327,0,2
803,"3",M15,73,247,0,2
804,"3",Z34,0,306,0,2
805,"3",Z76,155,145,0,2
806,"3",H26,124,175,0,2
807,"3",K29,123,176,0,2
808,"3",H00,109,188,0,2
809,"3",K58,69,216,0,2
810,"3",R99,538,932,0,2
811,"4",N18,1375,1764,70,2
812,"4",H52,663,1077,4,2
813,"4",Z01,138,1357,0,2
814,"4",N39,180,1053,0,2
815,"4",C91,642,465,0,2
816,"4",A09,428,457,0,2
817,"4",Z33,0,718,0,2
818,"4",U07,414,302,0,2
819,"4",E14,232,481,0,2
820,"4",H10,362,351,0,2
821,"4",Z96,272,298,0,2
822,"4",H40,232,337,0,2
823,"4",I10,180,368,0,2
824,"4",Z98,248,295,0,2
825,"4",K31,156,356,2,2
826,"4",K29,203,300,1,2
827,"4",H26,217,282,0,2
828,"4",H11,168,275,0,2
829,"4",H04,133,273,0,2
830,"4",Z34,0,360,0,2
831,"4",Z71,93,263,0,2
832,"4",E11,116,232,0,2
833,"4",K58,102,241,0,2
834,"4",H66,131,188,1,2
835,"4",Z76,144,146,0,2
836,"4",H00,117,170,0,2
837,"4",L70,90,196,0,2
838,"4",N89,0,278,0,2
839,"4",N76,0,272,0,2
840,"4",Z30,2,266,0,2
841,"4",R99,598,850,0,2
